algorithm,problem_id,run,generation,evaluation_start,evaluation_end,evaluations_this_generation,best_value,error,target_reached,operator_probabilities,operator_counts,metadata
bipop-cma-es,1,0,11,170,187,17,28424.88727180808,28424.88727180808,0,"{""cma_operator"":{""covariance"":0.4814520504408741,""isotropic"":0.518547949559126},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.00034,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":32.87452751266445}"
bipop-cma-es,1,0,12,187,204,17,26121.135310668018,26121.135310668018,0,"{""cma_operator"":{""covariance"":0.4639083661518619,""isotropic"":0.5360916338481382},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.000374,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":30.785197970157377}"
bipop-cma-es,1,0,13,204,221,17,24964.234455565667,24964.234455565667,0,"{""cma_operator"":{""covariance"":0.4676738546674319,""isotropic"":0.5323261453325682},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":11,""cma_isotropic"":6}","{""population_reduction_progress"":0.000408,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":28.685326404109215}"
bipop-cma-es,1,0,14,221,238,17,22019.13444972896,22019.13444972896,0,"{""cma_operator"":{""covariance"":0.48195884904981695,""isotropic"":0.518041150950183},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.000442,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":27.437603324643714}"
bipop-cma-es,1,0,15,238,255,17,20149.33137284904,20149.33137284904,0,"{""cma_operator"":{""covariance"":0.48274005778669504,""isotropic"":0.517259942213305},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.000476,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":26.47668583077446}"
bipop-cma-es,1,0,16,255,272,17,17476.459598115274,17476.459598115274,0,"{""cma_operator"":{""covariance"":0.5050875783602257,""isotropic"":0.4949124216397744},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":12,""cma_isotropic"":5}","{""population_reduction_progress"":0.00051,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":25.62416356776251}"
bipop-cma-es,1,0,17,272,289,17,13795.800719212948,13795.800719212948,0,"{""cma_operator"":{""covariance"":0.49708902336246075,""isotropic"":0.5029109766375391},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.000544,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":24.928557270728113}"
bipop-cma-es,1,0,18,289,306,17,13795.800719212948,13795.800719212948,0,"{""cma_operator"":{""covariance"":0.4946327064812989,""isotropic"":0.5053672935187011},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":5,""cma_isotropic"":12}","{""population_reduction_progress"":0.000578,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":23.840344530043474}"
bipop-cma-es,1,0,19,306,323,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.46471594885049816,""isotropic"":0.535284051149502},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.000612,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":22.922290579683633}"
bipop-cma-es,1,0,20,323,340,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.4785962170540597,""isotropic"":0.5214037829459404},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":0.000646,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":22.222634434784684}"
bipop-cma-es,1,0,21,340,357,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.4610837718675383,""isotropic"":0.5389162281324618},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.00068,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":21.09797177466837}"
bipop-cma-es,1,0,22,357,374,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.44331206078971724,""isotropic"":0.5566879392102828},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":0.000714,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":20.58916687483838}"
bipop-cma-es,1,0,23,374,391,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.4335746566253376,""isotropic"":0.5664253433746624},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.000748,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":19.978384284791947}"
bipop-cma-es,1,0,24,391,408,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.4266236439627466,""isotropic"":0.5733763560372535},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.000782,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":19.24158794395134}"
bipop-cma-es,1,0,25,408,425,17,6684.679136861827,6684.679136861827,0,"{""cma_operator"":{""covariance"":0.4229718212727162,""isotropic"":0.5770281787272837},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.000816,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":18.4176398361743}"
bipop-cma-es,1,0,26,425,442,17,5043.458531977764,5043.458531977764,0,"{""cma_operator"":{""covariance"":0.4133058677092605,""isotropic"":0.5866941322907394},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.00085,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":17.396888061364816}"
bipop-cma-es,1,0,27,442,459,17,5043.458531977764,5043.458531977764,0,"{""cma_operator"":{""covariance"":0.4384379272476203,""isotropic"":0.5615620727523797},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":3,""cma_isotropic"":14}","{""population_reduction_progress"":0.000884,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":16.483397569679664}"
bipop-cma-es,1,0,28,459,476,17,5043.458531977764,5043.458531977764,0,"{""cma_operator"":{""covariance"":0.4275934875583388,""isotropic"":0.5724065124416613},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.000918,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":15.677131275002132}"
bipop-cma-es,1,0,29,476,493,17,5043.458531977764,5043.458531977764,0,"{""cma_operator"":{""covariance"":0.4220411882419464,""isotropic"":0.5779588117580535},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.000952,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":14.941361165023087}"
bipop-cma-es,1,0,30,493,510,17,4529.725030633787,4529.725030633787,0,"{""cma_operator"":{""covariance"":0.41866276779309525,""isotropic"":0.5813372322069048},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.000986,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":14.209269859445474}"
bipop-cma-es,1,0,31,510,527,17,4529.725030633787,4529.725030633787,0,"{""cma_operator"":{""covariance"":0.4403704864864182,""isotropic"":0.5596295135135819},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":3,""cma_isotropic"":14}","{""population_reduction_progress"":0.00102,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":13.578326766367562}"
bipop-cma-es,1,0,32,527,544,17,3817.4059452398615,3817.4059452398615,0,"{""cma_operator"":{""covariance"":0.4336216444625542,""isotropic"":0.5663783555374459},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":3,""cma_isotropic"":14}","{""population_reduction_progress"":0.001054,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":13.041722435823047}"
bipop-cma-es,1,0,33,544,561,17,3817.4059452398615,3817.4059452398615,0,"{""cma_operator"":{""covariance"":0.4493460656970941,""isotropic"":0.550653934302906},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":0.001088,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":12.325901670427482}"
bipop-cma-es,1,0,34,561,578,17,3232.6844132500282,3232.6844132500282,0,"{""cma_operator"":{""covariance"":0.44195768612963865,""isotropic"":0.5580423138703614},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.001122,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":11.495376985358506}"
bipop-cma-es,1,0,35,578,595,17,3232.6844132500282,3232.6844132500282,0,"{""cma_operator"":{""covariance"":0.45521041339290674,""isotropic"":0.5447895866070933},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":5,""cma_isotropic"":12}","{""population_reduction_progress"":0.001156,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":11.051802117081692}"
bipop-cma-es,1,0,36,595,612,17,2953.5538677097948,2953.5538677097948,0,"{""cma_operator"":{""covariance"":0.4428058349699295,""isotropic"":0.5571941650300705},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":0.00119,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":10.322992592990252}"
bipop-cma-es,1,0,37,612,629,17,2736.2256677465784,2736.2256677465784,0,"{""cma_operator"":{""covariance"":0.45958716357883583,""isotropic"":0.5404128364211642},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.001224,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":9.66068958064803}"
bipop-cma-es,1,0,38,629,646,17,2425.2808023810194,2425.2808023810194,0,"{""cma_operator"":{""covariance"":0.46926171600564437,""isotropic"":0.5307382839943556},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.001258,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":9.156950858141078}"
bipop-cma-es,1,0,39,646,663,17,2370.2805841049717,2370.2805841049717,0,"{""cma_operator"":{""covariance"":0.47701793225609435,""isotropic"":0.5229820677439057},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.001292,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":8.580377061558659}"
bipop-cma-es,1,0,40,663,680,17,1745.0779876115123,1745.0779876115123,0,"{""cma_operator"":{""covariance"":0.4827229240024666,""isotropic"":0.5172770759975335},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":4,""cma_isotropic"":13}","{""population_reduction_progress"":0.001326,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":8.01887965335678}"
bipop-cma-es,1,0,41,680,697,17,1383.3240293848671,1383.3240293848671,0,"{""cma_operator"":{""covariance"":0.48359546198427783,""isotropic"":0.5164045380157221},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.00136,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":7.527755246673719}"
bipop-cma-es,1,0,42,697,714,17,1158.575375173648,1158.575375173648,0,"{""cma_operator"":{""covariance"":0.4888990213628361,""isotropic"":0.5111009786371641},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":15,""cma_isotropic"":2}","{""population_reduction_progress"":0.001394,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":7.155970382445032}"
bipop-cma-es,1,0,43,714,731,17,1134.5966499964434,1134.5966499964434,0,"{""cma_operator"":{""covariance"":0.4862693060934565,""isotropic"":0.5137306939065435},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.001428,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":6.833799182498067}"
bipop-cma-es,1,0,44,731,748,17,840.1068631052376,840.1068631052376,0,"{""cma_operator"":{""covariance"":0.4900962433624951,""isotropic"":0.509903756637505},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.001462,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":6.5569792024213935}"
bipop-cma-es,1,0,45,748,765,17,839.0954369050595,839.0954369050595,0,"{""cma_operator"":{""covariance"":0.49565287983457834,""isotropic"":0.5043471201654217},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":11,""cma_isotropic"":6}","{""population_reduction_progress"":0.001496,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":6.301799458670814}"
bipop-cma-es,1,0,46,765,782,17,839.0954369050595,839.0954369050595,0,"{""cma_operator"":{""covariance"":0.4974274627328115,""isotropic"":0.5025725372671885},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.00153,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":6.08185237240051}"
bipop-cma-es,1,0,47,782,799,17,839.0954369050595,839.0954369050595,0,"{""cma_operator"":{""covariance"":0.47491080789150825,""isotropic"":0.5250891921084917},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":11,""cma_isotropic"":6}","{""population_reduction_progress"":0.001564,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":5.839886858530134}"
bipop-cma-es,1,0,48,799,816,17,803.7768637938864,803.7768637938864,0,"{""cma_operator"":{""covariance"":0.4584700180553168,""isotropic"":0.5415299819446832},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":4,""cma_isotropic"":13}","{""population_reduction_progress"":0.001598,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":5.684404439374001}"
bipop-cma-es,1,0,49,816,833,17,803.7768637938864,803.7768637938864,0,"{""cma_operator"":{""covariance"":0.4707719092389855,""isotropic"":0.5292280907610145},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.001632,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":5.434168411577493}"
bipop-cma-es,1,0,50,833,850,17,803.7768637938864,803.7768637938864,0,"{""cma_operator"":{""covariance"":0.45638964283705646,""isotropic"":0.5436103571629436},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.001666,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":5.165320129964556}"
bipop-cma-es,1,0,51,850,867,17,593.5244488669227,593.5244488669227,0,"{""cma_operator"":{""covariance"":0.4456588529893081,""isotropic"":0.5543411470106919},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.0017,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":4.923809129338861}"
bipop-cma-es,1,0,52,867,884,17,446.75840018590316,446.75840018590316,0,"{""cma_operator"":{""covariance"":0.4590695000360855,""isotropic"":0.5409304999639145},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.001734,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":4.695652039931101}"
bipop-cma-es,1,0,53,884,901,17,383.3967979398401,383.3967979398401,0,"{""cma_operator"":{""covariance"":0.4661633764560412,""isotropic"":0.5338366235439588},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.001768,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":4.484750104423708}"
bipop-cma-es,1,0,54,901,918,17,383.3967979398401,383.3967979398401,0,"{""cma_operator"":{""covariance"":0.4761818924264912,""isotropic"":0.5238181075735088},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.001802,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":4.3520319214629115}"
bipop-cma-es,1,0,55,918,935,17,383.3967979398401,383.3967979398401,0,"{""cma_operator"":{""covariance"":0.45909270300320243,""isotropic"":0.5409072969967975},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.001836,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":4.243203746138805}"
bipop-cma-es,1,0,56,935,952,17,369.95933598768977,369.95933598768977,0,"{""cma_operator"":{""covariance"":0.44238946192874806,""isotropic"":0.5576105380712519},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":5,""cma_isotropic"":12}","{""population_reduction_progress"":0.00187,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":4.199621397103477}"
bipop-cma-es,1,0,57,952,969,17,369.95933598768977,369.95933598768977,0,"{""cma_operator"":{""covariance"":0.4567844425231841,""isotropic"":0.5432155574768159},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":9,""cma_isotropic"":8}","{""population_reduction_progress"":0.001904,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":3.9824840617523707}"
bipop-cma-es,1,0,58,969,986,17,369.95933598768977,369.95933598768977,0,"{""cma_operator"":{""covariance"":0.4478706189177045,""isotropic"":0.5521293810822956},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.001938,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":3.833919448071428}"
bipop-cma-es,1,0,59,986,1003,17,312.0659663842905,312.0659663842905,0,"{""cma_operator"":{""covariance"":0.44287085669463777,""isotropic"":0.5571291433053623},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.001972,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":3.6676112364343636}"
bipop-cma-es,1,0,60,1003,1020,17,299.6493821059414,299.6493821059414,0,"{""cma_operator"":{""covariance"":0.461316674586305,""isotropic"":0.5386833254136949},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.002006,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":3.4742846695827088}"
bipop-cma-es,1,0,61,1020,1037,17,228.03516245277854,228.03516245277854,0,"{""cma_operator"":{""covariance"":0.4743800299729211,""isotropic"":0.5256199700270789},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":0.00204,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":3.2890781642332905}"
bipop-cma-es,1,0,62,1037,1054,17,155.9792170026276,155.9792170026276,0,"{""cma_operator"":{""covariance"":0.4819773997063278,""isotropic"":0.5180226002936722},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":7,""cma_isotropic"":10}","{""population_reduction_progress"":0.002074,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":3.1069662537585576}"
bipop-cma-es,1,0,63,1054,1071,17,155.9792170026276,155.9792170026276,0,"{""cma_operator"":{""covariance"":0.4903658348596958,""isotropic"":0.5096341651403042},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.002108,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":2.9472656250505174}"
